year,building_type,total_energy_gj,total_gj_m
2011,Commercial,2748495.709097628,2.748495709097628
2011,Mixed,413606.42096036684,0.4136064209603668
2011,Residential,90824.37285985601,0.090824372859856
2016,Commercial,3094884.281615686,3.0948842816156863
2016,Mixed,683025.2654641211,0.6830252654641211
2016,Residential,343314.14294370636,0.3433141429437064
2021,Commercial,3421382.903627688,3.421382903627688
2021,Mixed,784240.2785882906,0.7842402785882906
2021,Residential,395497.1002266461,0.39549710022664614
2026,Commercial,3522938.631792711,3.522938631792711
2026,Mixed,832259.9011872768,0.8322599011872768
2026,Residential,442650.6560940573,0.4426506560940573
