precinct,n_trees,n_trees_with_dbh,mean_dbh_cm,total_dbh_cm,pct_park,pct_street,pct_mature,n_properties,mean_energy_2011,mean_energy_2016,mean_energy_2021,mean_energy_2026,total_energy_2026,mean_floor_area,pct_residential,pct_commercial,energy_growth_pct,log_energy_2026,mean_temp_c,mean_max_temp,mean_pm25,mean_pm10,mean_humidity,n_sensor_days
Brunswick,2,0,,0,0.0,100.0,0.0,30,56.91624967478433,208.3699159957,243.20278740553,279.8821940606567,8396.4658218197,948.813,100.0,0.0,391.7439143652031,5.637935343210531,,,,,,
Brunswick West,24,8,22.625,181,16.666666666666664,83.33333333333334,87.5,223,126.20298087691764,172.41725236260518,198.8538428624359,225.10565694520628,50198.561498780975,295.247399103139,96.41255605381166,3.587443946188341,78.3679397911732,5.421002398631293,,,,,,
Carlton,4361,3176,39.46127204030226,125329,27.080944737445535,72.91905526255445,63.40288924558587,2037,156.42573085955618,211.5451478058337,234.9105423861412,252.29276906301396,513920.370581359,320.3126558664709,67.10849288168875,24.594992636229748,61.28597749019317,5.53454600967167,,,,,,
Carlton North,2323,1605,43.43925233644861,69720,80.54240206629359,19.457597933706413,74.90314248816186,119,201.87005891898443,252.37119416467823,271.54392215300885,290.4247101850916,34560.54051202588,769.8932773109243,77.31092436974791,13.445378151260504,43.86715481251552,5.6747816883302935,,,,,,
Central City,26,0,,0,0.0,100.0,0.0,1389,894.8833869539147,1085.9612365089276,1211.1983922228364,1234.8907513673782,1715263.253649288,543.7055219582452,10.943124550035996,74.94600431965442,37.99460012000127,7.119547245249766,16.553008166090216,20.859095106186523,6.083025813032066,8.607020368579123,69.27034630717843,1083.0
Docklands,5812,3587,25.231391134652903,90505,50.70543702684102,49.29456297315898,39.88300068823125,155,1344.8410475229964,1646.448253344315,1808.4531929369289,1935.0410642470983,299931.3649583002,2111.7494193548378,28.387096774193548,61.935483870967744,43.886228622420894,7.56840047848301,16.97894476340642,21.750176678445232,6.046880835929132,6.959627372432282,62.688513048776855,566.0
East Melbourne,4485,1906,46.420251836306434,88477,55.00557413600892,44.99442586399108,73.73467112597547,386,480.4339629099368,579.1470126106177,639.7883771326376,667.6725518765328,257721.6050243412,590.5729274611398,48.44559585492228,42.74611398963731,38.97280446879984,6.505294481225606,16.137873641900224,21.299950908198333,4.485182322217919,5.947357972532718,64.3814388009624,2037.0
Fishermans Bend,61,0,,0,1.639344262295082,98.36065573770492,0.0,30,1602.1477645,1717.4817044,1824.0523322,1926.7401852,57802.205556,0.0,0.0,100.0,20.259830453360163,7.5641037073760256,,,,,,
Flemington,510,225,27.084444444444443,6094,2.3529411764705883,97.6470588235294,43.333333333333336,145,99.91511718054076,142.31329214777546,163.78059906510524,184.8260516118476,26799.7774837179,344.7273793103448,89.65517241379311,10.344827586206897,84.98307045757427,5.224811029746952,,,,,,
Kensington,7554,4279,33.28417854638937,142423,47.9083929044215,52.091607095578496,60.06089489012444,2670,13.736283535923636,35.182369840033395,41.339098209162536,47.653517401022505,127234.8914607305,180.7767640449438,95.39325842696628,3.632958801498128,246.91710662783916,3.8847241061422784,,,,,,
Melbourne,9056,5365,41.07176141658897,220350,54.90282685512368,45.09717314487632,70.49469964664311,130,2333.838130230162,2521.096701972869,2662.954403365892,2594.746799921761,337317.0839898292,661.4954615384614,1.5384615384615383,83.84615384615385,11.179381565158891,7.861629538368303,16.227422580110716,21.181794076963904,6.167148960632276,9.056122795695684,67.22951265060878,1884.0
North And West Melbourne,113,0,,0,7.079646017699115,92.92035398230088,0.0,313,135.9267706543123,167.86043630486486,189.3096610955012,210.37205244983545,65846.45241679854,114.87463258785944,63.578274760383394,35.78274760383386,54.76866803880136,5.353619862472601,,,,,,
