device_id,sensorlocation,sensor_lat,sensor_lon,precinct,tree_count_500m,mean_dbh_500m,mean_temp_c,mean_pm25,mean_humidity,mean_wind_speed,mean_noise,short_name
ICTMicroclimate-01,Birrarung Marr Park - Pole 1131,-37.8185931,144.9716404,Melbourne,1556,41.33654688869415,15.849872206412549,4.586914396443377,70.22519581302993,0.4247919753790031,53.525707163993424,Birrarung Marr
ICTMicroclimate-02,101 Collins St L11 Rooftop,-37.814604,144.9702991,Melbourne,928,35.385737439222055,16.536643081628796,7.071965177055743,68.06909799835312,1.5128014655215782,72.8372279457488,101 Collins St
ICTMicroclimate-03,CH1 rooftop,-37.8140348,144.96728,Central City,610,37.74537037037037,16.020246391875467,6.279653074785925,69.27042786307025,1.4418372041508194,72.30506074599133,CH1 Rooftop
ICTMicroclimate-04,Batman Park,-37.8221828,144.9562225,Southbank,494,33.05413105413105,18.63303978251718,5.084963816670913,61.73282153386678,0.7919018263965982,67.87865375043077,Batman Park
ICTMicroclimate-05,Enterprize Park - Pole ID: COM1667,-37.8204083,144.9591192,Central City,692,35.20599999999999,17.27714175163881,5.774922614712075,69.38892935178423,0.5415558994901655,71.08729743262927,Enterprize Park
ICTMicroclimate-06,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,-37.8194993,144.9787211,East Melbourne,1259,35.465999999999994,16.289098429016338,4.674212380644476,63.89568873078836,1.3496315081783077,65.62004493387568,Tennis Ctr 7B
ICTMicroclimate-07,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,-37.8222341,144.9829409,East Melbourne,426,25.4093567251462,16.308832309936697,4.784628693558145,63.72212402890399,0.8168012348610764,65.65910540421346,Tennis Ctr 7C
ICTMicroclimate-08,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,-37.8184515,144.9678474,Melbourne,838,43.30000000000001,16.36451590486614,6.83123990201649,63.24282239710895,1.239148034259309,71.14230989732627,Swanston/Fed Sq
ICTMicroclimate-09,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),-37.8223306,144.9521696,Docklands,568,31.492990654205613,17.011804251483447,6.1116014421988965,62.74887515961827,1.0418444377675924,62.899023510854185,MCEC Rooftop
ICTMicroclimate-10,1 Treasury Place,-37.8128595,144.9745395,East Melbourne,1347,46.9092105263158,13.694447577544125,4.741570741657959,65.2359651371451,1.596188156882841,73.31528838759326,1 Treasury Pl A
ICTMicroclimate-11,1 Treasury Place,-37.812888,144.9750857,East Melbourne,1437,47.47490820073439,17.017194092827115,3.5854581624980897,62.73244390103543,1.3566551591868066,57.018507863444285,1 Treasury Pl B
aws5-0999,Royal Park Asset ID: COM2707,-37.7956167,144.9519007,North Melbourne,4910,29.620114006514665,14.781477745965592,,76.242064679854,0.0947293076522651,,Royal Park
