lat,lon,n_trees
-37.851,144.981,2
-37.851,144.9825,13
-37.851,144.984,6
-37.8495,144.981,22
-37.8495,144.984,10
-37.848,144.9795,17
-37.848,144.981,26
-37.848,144.9825,27
-37.848,144.984,25
-37.8465,144.9795,20
-37.8465,144.984,3
-37.8465,144.9855,5
-37.845,144.978,1
-37.845,144.9795,28
-37.845,144.981,32
-37.845,144.9825,47
-37.845,144.984,75
-37.845,144.9855,7
-37.8435,144.978,25
-37.8435,144.9795,50
-37.8435,144.981,31
-37.8435,144.9825,78
-37.8435,144.984,60
-37.8435,144.9855,23
-37.842,144.978,26
-37.842,144.9795,57
-37.842,144.981,55
-37.842,144.9825,49
-37.842,144.984,114
-37.842,144.9855,21
-37.8405,144.9765,9
-37.8405,144.978,42
-37.8405,144.9795,84
-37.8405,144.981,54
-37.8405,144.9825,33
-37.8405,144.984,128
-37.8405,144.9855,33
-37.839,144.9765,26
-37.839,144.978,65
-37.839,144.9795,70
-37.839,144.981,112
-37.839,144.9825,108
-37.839,144.984,93
-37.839,144.9855,67
-37.839,144.987,3
-37.8375,144.915,11
-37.8375,144.9765,32
-37.8375,144.978,81
-37.8375,144.9795,79
-37.8375,144.981,36
-37.8375,144.9825,45
-37.8375,144.984,43
-37.8375,144.9855,20
-37.8375,144.987,11
-37.836,144.9135,3
-37.836,144.915,50
-37.836,144.975,11
-37.836,144.9765,41
-37.836,144.978,58
-37.836,144.9795,18
-37.836,144.981,48
-37.836,144.9825,21
-37.836,144.984,30
-37.836,144.9855,13
-37.836,144.987,11
-37.8345,144.912,32
-37.8345,144.9135,124
-37.8345,144.9735,13
-37.8345,144.975,42
-37.8345,144.9765,27
-37.8345,144.978,38
-37.8345,144.9795,23
-37.8345,144.981,37
-37.8345,144.9825,43
-37.8345,144.984,55
-37.8345,144.9855,31
-37.8345,144.987,14
-37.833,144.912,5
-37.833,144.972,29
-37.833,144.9735,65
-37.833,144.975,18
-37.833,144.9765,100
-37.833,144.978,70
-37.833,144.9795,36
-37.833,144.981,34
-37.833,144.9825,27
-37.833,144.984,47
-37.833,144.9855,12
-37.833,144.987,37
-37.8315,144.912,53
-37.8315,144.9135,6
-37.8315,144.915,14
-37.8315,144.966,5
-37.8315,144.9675,9
-37.8315,144.972,104
-37.8315,144.9735,55
-37.8315,144.975,99
-37.8315,144.9765,100
-37.8315,144.978,18
-37.8315,144.984,20
-37.8315,144.9855,7
-37.8315,144.987,22
-37.83,144.9,32
-37.83,144.9015,22
-37.83,144.912,38
-37.83,144.915,2
-37.83,144.9165,6
-37.83,144.9645,59
-37.83,144.966,29
-37.83,144.9675,40
-37.83,144.969,49
-37.83,144.9705,19
-37.83,144.972,105
-37.83,144.9735,25
-37.83,144.975,31
-37.83,144.9765,3
-37.83,144.984,24
-37.83,144.9855,42
-37.83,144.987,69
-37.8285,144.9015,124
-37.8285,144.903,4
-37.8285,144.906,1
-37.8285,144.9075,62
-37.8285,144.909,2
-37.8285,144.912,113
-37.8285,144.921,1
-37.8285,144.957,3
-37.8285,144.9585,4
-37.8285,144.96,3
-37.8285,144.9645,31
-37.8285,144.966,37
-37.8285,144.9675,45
-37.8285,144.969,43
-37.8285,144.9705,27
-37.8285,144.972,90
-37.8285,144.9735,155
-37.8285,144.975,53
-37.8285,144.981,2
-37.8285,144.9825,22
-37.8285,144.984,81
-37.8285,144.9855,63
-37.8285,144.987,75
-37.8285,144.9885,4
-37.827,144.9015,7
-37.827,144.903,116
-37.827,144.9045,1
-37.827,144.906,24
-37.827,144.9075,5
-37.827,144.909,118
-37.827,144.9105,169
-37.827,144.912,65
-37.827,144.9225,2
-37.827,144.924,8
-37.827,144.9255,13
-37.827,144.954,121
-37.827,144.9555,109
-37.827,144.957,26
-37.827,144.9585,26
-37.827,144.96,65
-37.827,144.9615,20
-37.827,144.966,7
-37.827,144.9675,25
-37.827,144.969,34
-37.827,144.9705,13
-37.827,144.972,73
-37.827,144.9735,103
-37.827,144.975,59
-37.827,144.9795,36
-37.827,144.981,86
-37.827,144.9825,300
-37.827,144.984,411
-37.827,144.9855,271
-37.827,144.987,27
-37.827,144.9885,5
-37.8255,144.903,16
-37.8255,144.9045,109
-37.8255,144.906,65
-37.8255,144.909,22
-37.8255,144.9105,25
-37.8255,144.912,5
-37.8255,144.9225,8
-37.8255,144.924,35
-37.8255,144.936,2
-37.8255,144.939,5
-37.8255,144.9405,15
-37.8255,144.9435,44
-37.8255,144.945,52
-37.8255,144.9465,22
-37.8255,144.948,11
-37.8255,144.9555,33
-37.8255,144.957,43
-37.8255,144.9585,10
-37.8255,144.96,26
-37.8255,144.9615,114
-37.8255,144.963,38
-37.8255,144.966,18
-37.8255,144.9675,58
-37.8255,144.969,82
-37.8255,144.9705,46
-37.8255,144.972,122
-37.8255,144.9735,84
-37.8255,144.975,75
-37.8255,144.9765,153
-37.8255,144.978,61
-37.8255,144.9795,43
-37.8255,144.981,83
-37.8255,144.9885,3
-37.824,144.906,24
-37.824,144.9075,76
-37.824,144.909,30
-37.824,144.9105,18
-37.824,144.921,12
-37.824,144.9225,3
-37.824,144.924,19
-37.824,144.9255,168
-37.824,144.927,38
-37.824,144.9285,14
-37.824,144.93,3
-37.824,144.9315,21
-37.824,144.933,27
-37.824,144.9345,22
-37.824,144.936,6
-37.824,144.9375,17
-37.824,144.939,34
-37.824,144.9405,51
-37.824,144.942,95
-37.824,144.9435,43
-37.824,144.945,36
-37.824,144.9465,17
-37.824,144.948,38
-37.824,144.9585,21
-37.824,144.96,49
-37.824,144.9615,25
-37.824,144.963,28
-37.824,144.9645,40
-37.824,144.966,97
-37.824,144.9675,77
-37.824,144.969,59
-37.824,144.9705,69
-37.824,144.972,114
-37.824,144.9735,46
-37.824,144.975,45
-37.824,144.9765,105
-37.824,144.978,47
-37.824,144.9795,30
-37.824,144.981,23
-37.824,144.9825,8
-37.824,144.984,21
-37.824,144.9855,26
-37.824,144.987,16
-37.824,144.9885,11
-37.8225,144.909,32
-37.8225,144.9105,152
-37.8225,144.912,87
-37.8225,144.9135,43
-37.8225,144.915,1
-37.8225,144.921,18
-37.8225,144.927,8
-37.8225,144.93,11
-37.8225,144.9315,6
-37.8225,144.933,18
-37.8225,144.9345,43
-37.8225,144.936,105
-37.8225,144.9375,100
-37.8225,144.939,65
-37.8225,144.9405,17
-37.8225,144.942,41
-37.8225,144.9435,17
-37.8225,144.945,54
-37.8225,144.9465,122
-37.8225,144.948,93
-37.8225,144.9495,51
-37.8225,144.951,44
-37.8225,144.9525,41
-37.8225,144.954,19
-37.8225,144.9555,19
-37.8225,144.957,12
-37.8225,144.96,15
-37.8225,144.9615,9
-37.8225,144.963,58
-37.8225,144.9645,169
-37.8225,144.966,55
-37.8225,144.9675,5
-37.8225,144.969,23
-37.8225,144.9705,73
-37.8225,144.972,92
-37.8225,144.9735,98
-37.8225,144.975,84
-37.8225,144.9765,35
-37.8225,144.978,24
-37.8225,144.9795,2
-37.8225,144.984,35
-37.8225,144.9855,29
-37.8225,144.987,55
-37.8225,144.9885,30
-37.821,144.9135,13
-37.821,144.915,47
-37.821,144.9165,39
-37.821,144.918,46
-37.821,144.9195,53
-37.821,144.921,43
-37.821,144.9225,40
-37.821,144.924,44
-37.821,144.9255,29
-37.821,144.927,48
-37.821,144.9285,52
-37.821,144.93,39
-37.821,144.9315,13
-37.821,144.9345,13
-37.821,144.936,10
-37.821,144.939,7
-37.821,144.9405,61
-37.821,144.942,68
-37.821,144.9435,88
-37.821,144.945,160
-37.821,144.9465,957
-37.821,144.948,72
-37.821,144.9495,43
-37.821,144.951,35
-37.821,144.9525,6
-37.821,144.954,13
-37.821,144.9555,9
-37.821,144.957,41
-37.821,144.9585,11
-37.821,144.9615,15
-37.821,144.963,71
-37.821,144.9645,79
-37.821,144.966,24
-37.821,144.9675,20
-37.821,144.969,43
-37.821,144.9705,72
-37.821,144.972,62
-37.821,144.9735,60
-37.821,144.975,40
-37.821,144.9765,31
-37.821,144.981,1
-37.821,144.984,17
-37.821,144.9885,10
-37.821,144.99,5
-37.8195,144.939,5
-37.8195,144.9405,14
-37.8195,144.942,58
-37.8195,144.9435,100
-37.8195,144.945,112
-37.8195,144.9465,223
-37.8195,144.948,123
-37.8195,144.9495,45
-37.8195,144.951,32
-37.8195,144.9525,20
-37.8195,144.954,24
-37.8195,144.9555,21
-37.8195,144.957,33
-37.8195,144.9585,30
-37.8195,144.96,50
-37.8195,144.9615,28
-37.8195,144.963,17
-37.8195,144.9645,21
-37.8195,144.966,27
-37.8195,144.9675,27
-37.8195,144.969,39
-37.8195,144.9705,25
-37.8195,144.972,45
-37.8195,144.9735,64
-37.8195,144.975,118
-37.8195,144.9765,50
-37.8195,144.9795,46
-37.8195,144.981,49
-37.8195,144.9885,7
-37.8195,144.99,23
-37.818,144.933,144
-37.818,144.9345,32
-37.818,144.9435,3
-37.818,144.945,23
-37.818,144.9465,95
-37.818,144.948,12
-37.818,144.9495,24
-37.818,144.951,2
-37.818,144.954,19
-37.818,144.9555,34
-37.818,144.957,27
-37.818,144.9585,20
-37.818,144.96,54
-37.818,144.9615,21
-37.818,144.963,17
-37.818,144.9645,11
-37.818,144.9675,1
-37.818,144.969,9
-37.818,144.9705,54
-37.818,144.972,156
-37.818,144.9735,171
-37.818,144.975,125
-37.818,144.978,29
-37.818,144.9795,23
-37.818,144.981,13
-37.818,144.9885,44
-37.818,144.99,29
-37.8165,144.933,56
-37.8165,144.9345,197
-37.8165,144.936,226
-37.8165,144.9375,44
-37.8165,144.939,6
-37.8165,144.945,47
-37.8165,144.9465,19
-37.8165,144.9525,10
-37.8165,144.954,17
-37.8165,144.9555,32
-37.8165,144.957,32
-37.8165,144.9585,28
-37.8165,144.96,15
-37.8165,144.9615,39
-37.8165,144.963,22
-37.8165,144.9645,22
-37.8165,144.966,10
-37.8165,144.9675,48
-37.8165,144.969,19
-37.8165,144.9705,18
-37.8165,144.972,22
-37.8165,144.9735,9
-37.8165,144.975,44
-37.8165,144.9765,95
-37.8165,144.978,132
-37.8165,144.9795,121
-37.8165,144.981,141
-37.8165,144.9825,40
-37.8165,144.984,15
-37.8165,144.9855,19
-37.8165,144.987,10
-37.8165,144.9885,71
-37.8165,144.99,32
-37.815,144.9345,14
-37.815,144.936,55
-37.815,144.9375,76
-37.815,144.939,102
-37.815,144.9405,60
-37.815,144.942,36
-37.815,144.9435,8
-37.815,144.945,50
-37.815,144.9465,15
-37.815,144.948,5
-37.815,144.9525,17
-37.815,144.954,4
-37.815,144.9555,22
-37.815,144.957,19
-37.815,144.9585,33
-37.815,144.96,20
-37.815,144.9615,31
-37.815,144.963,15
-37.815,144.966,29
-37.815,144.9675,15
-37.815,144.969,31
-37.815,144.9705,26
-37.815,144.972,40
-37.815,144.9735,19
-37.815,144.975,88
-37.815,144.9765,77
-37.815,144.978,69
-37.815,144.9795,177
-37.815,144.981,107
-37.815,144.9825,81
-37.815,144.984,20
-37.815,144.9855,54
-37.815,144.987,35
-37.815,144.9885,70
-37.815,144.99,42
-37.8135,144.9345,7
-37.8135,144.936,9
-37.8135,144.9375,16
-37.8135,144.939,23
-37.8135,144.9405,65
-37.8135,144.942,80
-37.8135,144.9435,34
-37.8135,144.945,16
-37.8135,144.9465,3
-37.8135,144.9495,4
-37.8135,144.951,10
-37.8135,144.9525,24
-37.8135,144.954,24
-37.8135,144.9555,10
-37.8135,144.957,25
-37.8135,144.9585,21
-37.8135,144.96,38
-37.8135,144.9615,15
-37.8135,144.963,15
-37.8135,144.9645,14
-37.8135,144.966,33
-37.8135,144.9675,21
-37.8135,144.969,17
-37.8135,144.9705,37
-37.8135,144.972,39
-37.8135,144.9735,21
-37.8135,144.975,47
-37.8135,144.9765,95
-37.8135,144.978,70
-37.8135,144.9795,123
-37.8135,144.981,113
-37.8135,144.9825,89
-37.8135,144.984,55
-37.8135,144.9855,78
-37.8135,144.987,39
-37.8135,144.9885,61
-37.8135,144.99,40
-37.812,144.9345,32
-37.812,144.936,80
-37.812,144.9375,14
-37.812,144.939,25
-37.812,144.9405,10
-37.812,144.942,7
-37.812,144.9435,18
-37.812,144.945,8
-37.812,144.948,14
-37.812,144.9495,16
-37.812,144.951,37
-37.812,144.9525,14
-37.812,144.954,44
-37.812,144.9555,46
-37.812,144.957,23
-37.812,144.9585,23
-37.812,144.96,35
-37.812,144.9615,27
-37.812,144.963,12
-37.812,144.9645,31
-37.812,144.966,9
-37.812,144.9675,19
-37.812,144.969,12
-37.812,144.9705,37
-37.812,144.972,33
-37.812,144.9735,18
-37.812,144.975,25
-37.812,144.9765,14
-37.812,144.978,60
-37.812,144.9795,185
-37.812,144.981,95
-37.812,144.9825,111
-37.812,144.984,34
-37.812,144.9855,62
-37.812,144.987,99
-37.812,144.9885,79
-37.812,144.99,58
-37.812,144.9915,6
-37.8105,144.9345,2
-37.8105,144.936,199
-37.8105,144.9375,6
-37.8105,144.939,19
-37.8105,144.9405,9
-37.8105,144.945,19
-37.8105,144.9465,40
-37.8105,144.948,36
-37.8105,144.9495,21
-37.8105,144.951,18
-37.8105,144.9525,25
-37.8105,144.954,67
-37.8105,144.9555,50
-37.8105,144.957,27
-37.8105,144.9585,34
-37.8105,144.96,16
-37.8105,144.9615,19
-37.8105,144.963,11
-37.8105,144.9645,37
-37.8105,144.966,15
-37.8105,144.9675,30
-37.8105,144.969,27
-37.8105,144.9705,42
-37.8105,144.972,23
-37.8105,144.9735,31
-37.8105,144.975,33
-37.8105,144.9765,47
-37.8105,144.978,59
-37.8105,144.9795,82
-37.8105,144.981,85
-37.8105,144.9825,108
-37.8105,144.984,32
-37.8105,144.9855,44
-37.8105,144.987,66
-37.8105,144.9885,55
-37.8105,144.99,42
-37.8105,144.9915,6
-37.809,144.927,1
-37.809,144.93,17
-37.809,144.9315,7
-37.809,144.9375,1
-37.809,144.9435,19
-37.809,144.945,84
-37.809,144.9465,52
-37.809,144.948,34
-37.809,144.9495,40
-37.809,144.951,23
-37.809,144.9525,56
-37.809,144.954,77
-37.809,144.9555,61
-37.809,144.957,20
-37.809,144.9585,52
-37.809,144.96,27
-37.809,144.9615,15
-37.809,144.963,19
-37.809,144.9645,14
-37.809,144.966,32
-37.809,144.9675,23
-37.809,144.969,32
-37.809,144.9705,5
-37.809,144.972,64
-37.809,144.9735,56
-37.809,144.975,24
-37.809,144.9765,49
-37.809,144.978,32
-37.809,144.9795,14
-37.809,144.981,25
-37.809,144.9825,14
-37.809,144.984,17
-37.809,144.9855,15
-37.809,144.987,14
-37.809,144.9885,5
-37.8075,144.912,13
